wheel_1_Force_x,wheel_1_Force_y,wheel_1_Force_z,wheel_2_Force_x,wheel_2_Force_y,wheel_2_Force_z,wheel_3_Force_x,wheel_3_Force_y,wheel_3_Force_z,wheel_4_Force_x,wheel_4_Force_y,wheel_4_Force_z,,,
0.0,0.0,76.38446,0.0,0.0,206.33264,0.0,0.0,93.325424,0.0,0.0,206.89774
0.0,0.0,74.77304,0.0,0.0,210.52946,0.0,0.0,94.91167,0.0,0.0,208.15186
0.0,0.0,121.958534,0.0,0.0,169.89413,-4.400557e-12,3.5160997e-12,127.726555,0.0,0.0,167.2919
0.0,0.0,119.45042,0.0,0.0,139.29147,-1.044658e-12,1.8596379e-12,124.74258,0.0,0.0,120.80532
0.0,0.0,123.799774,0.0,0.0,149.42407,-3.1172534e-12,-5.650974e-13,130.77441,0.0,0.0,145.52058
0.0,0.0,125.94498,0.0,0.0,173.09738,-1.2852241e-12,9.4754215e-14,126.26217,0.0,0.0,169.86346
0.0,0.0,124.301895,0.0,0.0,161.539,-6.343864e-13,4.6069913e-13,120.29568,0.0,0.0,145.93079
0.0,0.0,129.66713,0.0,0.0,161.31076,-3.5015348e-12,1.2579931e-12,121.39717,0.0,0.0,162.45499
0.0,0.0,115.36515,0.0,0.0,176.04807,-4.7770243e-12,-3.2749882e-13,134.45636,0.0,0.0,148.98755
0.0,0.0,119.34792,8.798345e-06,-7.038913e-05,138.62943,-3.294316e-12,-1.4162952e-12,131.96182,0.0,0.0,119.64783
0.0,0.0,126.17469,0.0,0.0,155.75038,-2.07923e-12,-2.9279788e-13,133.62868,0.0,0.0,147.26118
0.0,0.0,118.871506,0.0,0.0,163.01837,-4.9622676e-12,1.000044e-12,125.36164,0.0,0.0,144.79855
0.0,0.0,128.11484,0.0,0.0,169.47714,-1.1563817e-12,1.114361e-12,128.60693,0.0,0.0,166.58827
0.0,0.0,126.37374,0.0,0.0,150.19128,-2.3215499e-12,1.1815787e-12,119.07214,0.0,0.0,141.38689
0.0,0.0,120.10997,0.0,0.0,156.25952,-3.0274507e-12,2.6808146e-12,126.35141,0.0,0.0,151.89668
0.0,0.0,127.045135,-0.0003540042,0.0028320327,136.38965,0.0,0.0,132.93353,-3.2371685e-05,0.00025897348,136.48903
0.0,0.0,127.617004,0.0,0.0,171.78912,-1.8165622e-12,1.0598838e-12,127.661736,0.0,0.0,170.46527
0.0,0.0,79.47906,0.0,0.0,206.892,0.0,0.0,83.005714,0.0,0.0,209.7377
0.0,0.0,122.55952,0.0,0.0,156.74086,-7.785489e-12,6.625425e-12,125.18767,0.0,0.0,147.2185
0.0,0.0,119.07057,0.0,0.0,157.02295,-1.26750615e-11,2.1997675e-11,127.92541,0.0,0.0,167.33954
